year,dept,female_count,total_count,female_pct
1984-85,Theater Dance & Perf Stds,16.0,24,0.6666666666666666
1984-85,UG Interdisciplinary Studies,56.0,96,0.5833333333333334
1984-85,Wood Science & Tech Grad Grp,,1,
1985-86,African American Studies,1.0,1,1.0
1985-86,Ag & Resource Econ & Pol,16.0,38,0.42105263157894735
1985-86,Anthropology,43.0,70,0.6142857142857143
1985-86,Architecture,57.0,189,0.30158730158730157
1985-86,Art Practice,39.0,58,0.6724137931034483
1985-86,Astronomy,,8,
1985-86,Bioengineering,4.0,9,0.4444444444444444
1985-86,Business,162.0,326,0.49693251533742333
1985-86,Chem & Biomolecular Eng,24.0,90,0.26666666666666666
1985-86,Chemistry,19.0,61,0.3114754098360656
1985-86,Civil & Environmental Eng,19.0,109,0.1743119266055046
1985-86,Classics,1.0,6,0.16666666666666666
1985-86,Comparative Literature,18.0,24,0.75
1985-86,Earth & Planetary Science,9.0,37,0.24324324324324326
1985-86,East Asian Lang & Culture,11.0,21,0.5238095238095238
1985-86,Economics,78.0,216,0.3611111111111111
1985-86,Electrical Eng & Computer Sci,36.0,233,0.15450643776824036
1985-86,Engineering Science,2.0,19,0.10526315789473684
1985-86,English,194.0,324,0.5987654320987654
1985-86,"Env Sci, Policy, & Mgmt",41.0,85,0.4823529411764706
1985-86,Ethnic Studies,13.0,19,0.6842105263157895
1985-86,Film and Media,13.0,20,0.65
1985-86,French,43.0,59,0.7288135593220338
1985-86,Gender & Womens Studies,4.0,4,1.0
1985-86,Geography,18.0,53,0.33962264150943394
1985-86,German,8.0,15,0.5333333333333333
1985-86,History,92.0,231,0.39826839826839827
1985-86,History of Art,25.0,33,0.7575757575757576
1985-86,Industrial Eng & Ops Research,15.0,28,0.5357142857142857
1985-86,Integrative Biology,86.0,142,0.6056338028169014
1985-86,Interdisc Social Science Pgms,115.0,209,0.5502392344497608
1985-86,Italian Studies,1.0,3,0.3333333333333333
1985-86,L&S Chemistry,6.0,10,0.6
1985-86,L&S Computer Science,35.0,119,0.29411764705882354
1985-86,L&S Legal Studies,37.0,64,0.578125
1985-86,L&S Social Welfare,40.0,56,0.7142857142857143
1985-86,Landscape Arch & Env Plan,7.0,15,0.4666666666666667
1985-86,Linguistics,19.0,33,0.5757575757575758
1985-86,Materials Science & Eng,7.0,35,0.2
1985-86,Mathematics,78.0,186,0.41935483870967744
1985-86,Mechanical Engineering,16.0,146,0.1095890410958904
1985-86,Molecular & Cell Biology,98.0,278,0.35251798561151076
1985-86,Music,11.0,19,0.5789473684210527
1985-86,Near Eastern Studies,1.0,4,0.25
1985-86,Nuclear Engineering,3.0,22,0.13636363636363635
1985-86,Nutritional Sciences & Tox,56.0,62,0.9032258064516129
1985-86,Optometry,28.0,69,0.4057971014492754
1985-86,Other Arts & Humanities Pgms,44.0,65,0.676923076923077
1985-86,Other Bio Sciences Pgms,47.0,96,0.4895833333333333
1985-86,Other Clg of Natural Res Pgms,10.0,25,0.4
1985-86,Other Env Design Programs,,3,
1985-86,Other Physical Sciences Pgms,2.0,10,0.2
1985-86,Other Social Sciences Programs,116.0,213,0.5446009389671361
1985-86,Philosophy,15.0,56,0.26785714285714285
1985-86,Physics,17.0,107,0.1588785046728972
1985-86,Political Science,130.0,323,0.4024767801857585
1985-86,Psychology,150.0,214,0.7009345794392523
1985-86,Rhetoric,31.0,69,0.4492753623188406
1985-86,Scandinavian,5.0,8,0.625
1985-86,Slavic Languages & Literatures,7.0,9,0.7777777777777778
1985-86,Sociology,39.0,67,0.582089552238806
1985-86,South & SE Asian Studies,5.0,7,0.7142857142857143
1985-86,Spanish & Portuguese,19.0,30,0.6333333333333333
1985-86,Statistics,8.0,20,0.4
1985-86,Theater Dance & Perf Stds,23.0,29,0.7931034482758621
1985-86,UG Interdisciplinary Studies,42.0,86,0.4883720930232558
1986-87,African American Studies,,2,
1986-87,Ag & Resource Econ & Pol,17.0,38,0.4473684210526316
1986-87,Anthropology,54.0,91,0.5934065934065934
1986-87,Architecture,72.0,182,0.3956043956043956
1986-87,Art Practice,34.0,53,0.6415094339622641
1986-87,Astronomy,,5,
1986-87,Bioengineering,7.0,16,0.4375
1986-87,Business,148.0,308,0.4805194805194805
1986-87,Chem & Biomolecular Eng,31.0,90,0.34444444444444444
1986-87,Chemistry,14.0,49,0.2857142857142857
1986-87,Civil & Environmental Eng,16.0,108,0.14814814814814814
1986-87,Classics,7.0,11,0.6363636363636364
1986-87,Comparative Literature,17.0,21,0.8095238095238095
1986-87,Earth & Planetary Science,7.0,19,0.3684210526315789
1986-87,East Asian Lang & Culture,5.0,13,0.38461538461538464
1986-87,Economics,96.0,236,0.4067796610169492
1986-87,Electrical Eng & Computer Sci,49.0,237,0.20675105485232068
1986-87,Engineering Science,5.0,34,0.14705882352941177
1986-87,English,249.0,407,0.6117936117936118
1986-87,"Env Sci, Policy, & Mgmt",34.0,66,0.5151515151515151
1986-87,Ethnic Studies,17.0,30,0.5666666666666667
1986-87,Film and Media,7.0,11,0.6363636363636364
1986-87,French,55.0,66,0.8333333333333334
1986-87,Gender & Womens Studies,5.0,7,0.7142857142857143
1986-87,Geography,20.0,44,0.45454545454545453
1986-87,German,10.0,16,0.625
1986-87,History,93.0,224,0.41517857142857145
1986-87,History of Art,32.0,39,0.8205128205128205
1986-87,Industrial Eng & Ops Research,21.0,45,0.4666666666666667
1986-87,Integrative Biology,77.0,145,0.5310344827586206
1986-87,Interdisc Social Science Pgms,130.0,253,0.5138339920948617
1986-87,Italian Studies,3.0,4,0.75
1986-87,Journalism,,1,
1986-87,L&S Chemistry,1.0,3,0.3333333333333333
1986-87,L&S Computer Science,31.0,118,0.2627118644067797
1986-87,L&S Legal Studies,24.0,49,0.4897959183673469
1986-87,L&S Social Welfare,55.0,70,0.7857142857142857
1986-87,Landscape Arch & Env Plan,12.0,17,0.7058823529411765
1986-87,Linguistics,18.0,27,0.6666666666666666
1986-87,Materials Science & Eng,17.0,46,0.3695652173913043
1986-87,Mathematics,65.0,186,0.34946236559139787
1986-87,Mechanical Engineering,22.0,143,0.15384615384615385
1986-87,Molecular & Cell Biology,132.0,292,0.4520547945205479
1986-87,Music,13.0,24,0.5416666666666666
1986-87,Near Eastern Studies,8.0,15,0.5333333333333333
1986-87,Nuclear Engineering,1.0,21,0.047619047619047616
1986-87,Nutritional Sciences & Tox,50.0,55,0.9090909090909091
1986-87,Optometry,22.0,51,0.43137254901960786
1986-87,Other Arts & Humanities Pgms,50.0,75,0.6666666666666666
1986-87,Other Bio Sciences Pgms,56.0,124,0.45161290322580644
1986-87,Other Clg of Natural Res Pgms,16.0,29,0.5517241379310345
1986-87,Other EVCP Programs,,1,
1986-87,Other Env Design Programs,4.0,9,0.4444444444444444
1986-87,Other Physical Sciences Pgms,2.0,11,0.18181818181818182
1986-87,Other Social Sciences Programs,172.0,291,0.5910652920962199
1986-87,Philosophy,17.0,55,0.3090909090909091
1986-87,Physics,8.0,79,0.10126582278481013
1986-87,Political Science,121.0,281,0.4306049822064057
1986-87,Psychology,172.0,245,0.7020408163265306
1986-87,Rhetoric,32.0,72,0.4444444444444444
1986-87,Scandinavian,1.0,2,0.5
1986-87,Slavic Languages & Literatures,10.0,16,0.625
1986-87,Sociology,53.0,96,0.5520833333333334
1986-87,South & SE Asian Studies,3.0,5,0.6
1986-87,Spanish & Portuguese,20.0,30,0.6666666666666666
1986-87,Statistics,12.0,31,0.3870967741935484
1986-87,Theater Dance & Perf Stds,8.0,15,0.5333333333333333
1986-87,UG Interdisciplinary Studies,67.0,98,0.6836734693877551
1987-88,African American Studies,2.0,2,1.0
1987-88,Ag & Resource Econ & Pol,17.0,40,0.425
1987-88,Anthropology,56.0,94,0.5957446808510638
1987-88,Architecture,62.0,168,0.36904761904761907
1987-88,Art Practice,36.0,52,0.6923076923076923
1987-88,Astronomy,2.0,11,0.18181818181818182
1987-88,Bioengineering,2.0,15,0.13333333333333333
1987-88,Business,153.0,289,0.5294117647058824
1987-88,Chem & Biomolecular Eng,21.0,72,0.2916666666666667
1987-88,Chemistry,19.0,60,0.31666666666666665
1987-88,Civil & Environmental Eng,12.0,77,0.15584415584415584
1987-88,Classics,2.0,7,0.2857142857142857
1987-88,Comparative Literature,24.0,33,0.7272727272727273
1987-88,Earth & Planetary Science,4.0,16,0.25
1987-88,East Asian Lang & Culture,15.0,24,0.625
1987-88,Economics,108.0,303,0.3564356435643564
1987-88,Electrical Eng & Computer Sci,44.0,216,0.2037037037037037
1987-88,Engineering Science,3.0,27,0.1111111111111111
1987-88,English,256.0,427,0.5995316159250585
1987-88,"Env Sci, Policy, & Mgmt",37.0,72,0.5138888888888888
1987-88,Ethnic Studies,22.0,37,0.5945945945945946
1987-88,Film and Media,7.0,13,0.5384615384615384
1987-88,French,44.0,55,0.8
1987-88,Gender & Womens Studies,9.0,9,1.0
1987-88,Geography,14.0,42,0.3333333333333333
1987-88,German,15.0,25,0.6
1987-88,History,126.0,299,0.4214046822742475
1987-88,History of Art,49.0,59,0.8305084745762712
1987-88,Industrial Eng & Ops Research,13.0,53,0.24528301886792453
1987-88,Integrative Biology,93.0,176,0.5284090909090909
1987-88,Interdisc Social Science Pgms,136.0,267,0.5093632958801498
1987-88,Italian Studies,7.0,10,0.7
1987-88,L&S Chemistry,4.0,11,0.36363636363636365
1987-88,L&S Computer Science,36.0,106,0.33962264150943394
1987-88,L&S Legal Studies,33.0,76,0.4342105263157895
1987-88,L&S Social Welfare,50.0,60,0.8333333333333334
1987-88,Landscape Arch & Env Plan,10.0,14,0.7142857142857143
1987-88,Linguistics,24.0,34,0.7058823529411765
1987-88,Materials Science & Eng,14.0,61,0.22950819672131148
1987-88,Mathematics,79.0,172,0.45930232558139533
1987-88,Mechanical Engineering,17.0,146,0.11643835616438356
1987-88,Molecular & Cell Biology,139.0,328,0.42378048780487804
1987-88,Music,10.0,26,0.38461538461538464
1987-88,Near Eastern Studies,5.0,7,0.7142857142857143
1987-88,Nuclear Engineering,3.0,24,0.125
1987-88,Nutritional Sciences & Tox,65.0,76,0.8552631578947368
1987-88,Optometry,28.0,58,0.4827586206896552
1987-88,Other Arts & Humanities Pgms,63.0,87,0.7241379310344828
1987-88,Other Bio Sciences Pgms,48.0,112,0.42857142857142855
1987-88,Other Clg of Natural Res Pgms,14.0,28,0.5
1987-88,Other Env Design Programs,1.0,3,0.3333333333333333
1987-88,Other Physical Sciences Pgms,4.0,9,0.4444444444444444
1987-88,Other Social Sciences Programs,233.0,388,0.6005154639175257
1987-88,Philosophy,24.0,63,0.38095238095238093
1987-88,Physics,8.0,78,0.10256410256410256
1987-88,Plant & Microbial Biology,1.0,1,1.0
1987-88,Political Science,115.0,284,0.40492957746478875
1987-88,Psychology,202.0,294,0.6870748299319728
1987-88,Rhetoric,28.0,80,0.35
1987-88,Scandinavian,4.0,6,0.6666666666666666
1987-88,Slavic Languages & Literatures,16.0,18,0.8888888888888888
1987-88,Sociology,55.0,93,0.5913978494623656
1987-88,South & SE Asian Studies,1.0,2,0.5
1987-88,Spanish & Portuguese,20.0,23,0.8695652173913043
1987-88,Statistics,13.0,26,0.5
1987-88,Theater Dance & Perf Stds,17.0,28,0.6071428571428571
1987-88,UG Interdisciplinary Studies,59.0,101,0.5841584158415841
1988-89,African American Studies,4.0,7,0.5714285714285714
1988-89,Ag & Resource Econ & Pol,12.0,31,0.3870967741935484
1988-89,Anthropology,79.0,119,0.6638655462184874
1988-89,Architecture,93.0,196,0.4744897959183674
1988-89,Art Practice,47.0,67,0.7014925373134329
1988-89,Astronomy,4.0,10,0.4
1988-89,Bioengineering,4.0,14,0.2857142857142857
1988-89,Business,127.0,263,0.4828897338403042
1988-89,Chem & Biomolecular Eng,22.0,57,0.38596491228070173
1988-89,Chemistry,18.0,52,0.34615384615384615
1988-89,Civil & Environmental Eng,24.0,82,0.2926829268292683
1988-89,Classics,3.0,7,0.42857142857142855
1988-89,Comparative Literature,24.0,35,0.6857142857142857
1988-89,Earth & Planetary Science,4.0,16,0.25
1988-89,East Asian Lang & Culture,14.0,19,0.7368421052631579
1988-89,Economics,129.0,334,0.38622754491017963
1988-89,Electrical Eng & Computer Sci,26.0,165,0.15757575757575756
1988-89,Engineering Science,4.0,27,0.14814814814814814
1988-89,English,270.0,434,0.6221198156682027
1988-89,"Env Sci, Policy, & Mgmt",38.0,72,0.5277777777777778
1988-89,Ethnic Studies,29.0,40,0.725
1988-89,Film and Media,13.0,18,0.7222222222222222
1988-89,French,51.0,61,0.8360655737704918
1988-89,Gender & Womens Studies,8.0,10,0.8
1988-89,Geography,16.0,52,0.3076923076923077
1988-89,German,16.0,26,0.6153846153846154
1988-89,History,151.0,371,0.40700808625336926
1988-89,History of Art,46.0,60,0.7666666666666667
1988-89,Industrial Eng & Ops Research,19.0,48,0.3958333333333333
1988-89,Integrative Biology,100.0,180,0.5555555555555556
1988-89,Interdisc Social Science Pgms,139.0,282,0.4929078014184397
1988-89,Italian Studies,6.0,8,0.75
1988-89,L&S Chemistry,4.0,11,0.36363636363636365
1988-89,L&S Computer Science,24.0,100,0.24
1988-89,L&S Legal Studies,31.0,76,0.40789473684210525
1988-89,L&S Social Welfare,42.0,56,0.75
1988-89,Landscape Arch & Env Plan,6.0,9,0.6666666666666666
1988-89,Linguistics,18.0,22,0.8181818181818182
1988-89,Materials Science & Eng,15.0,38,0.39473684210526316
1988-89,Mathematics,55.0,137,0.40145985401459855
1988-89,Mechanical Engineering,21.0,144,0.14583333333333334
1988-89,Molecular & Cell Biology,109.0,282,0.38652482269503546
1988-89,Music,6.0,22,0.2727272727272727
1988-89,Near Eastern Studies,8.0,13,0.6153846153846154
1988-89,Nuclear Engineering,1.0,15,0.06666666666666667
1988-89,Nutritional Sciences & Tox,49.0,55,0.8909090909090909
1988-89,Optometry,26.0,58,0.4482758620689655
1988-89,Other Arts & Humanities Pgms,41.0,74,0.5540540540540541
1988-89,Other Bio Sciences Pgms,50.0,106,0.4716981132075472
1988-89,Other Clg of Natural Res Pgms,12.0,20,0.6
1988-89,Other Env Design Programs,,2,
1988-89,Other Physical Sciences Pgms,3.0,10,0.3
1988-89,Other Social Sciences Programs,218.0,383,0.5691906005221932
1988-89,Philosophy,17.0,61,0.2786885245901639
1988-89,Physics,13.0,82,0.15853658536585366
1988-89,Plant & Microbial Biology,2.0,4,0.5
1988-89,Political Science,134.0,317,0.4227129337539432
1988-89,Psychology,208.0,308,0.6753246753246753
1988-89,Rhetoric,52.0,111,0.46846846846846846
1988-89,Scandinavian,1.0,3,0.3333333333333333
1988-89,Slavic Languages & Literatures,9.0,11,0.8181818181818182
1988-89,Sociology,72.0,116,0.6206896551724138
1988-89,South & SE Asian Studies,3.0,5,0.6
1988-89,Spanish & Portuguese,25.0,41,0.6097560975609756
1988-89,Statistics,10.0,17,0.5882352941176471
1988-89,Theater Dance & Perf Stds,15.0,29,0.5172413793103449
1988-89,UG Interdisciplinary Studies,70.0,115,0.6086956521739131
1989-90,African American Studies,7.0,7,1.0
1989-90,Ag & Resource Econ & Pol,12.0,33,0.36363636363636365
1989-90,Anthropology,89.0,130,0.6846153846153846
1989-90,Architecture,66.0,194,0.3402061855670103
1989-90,Art Practice,40.0,56,0.7142857142857143
1989-90,Astronomy,2.0,9,0.2222222222222222
1989-90,Bioengineering,7.0,20,0.35
1989-90,Business,133.0,255,0.5215686274509804
1989-90,Chem & Biomolecular Eng,17.0,71,0.23943661971830985
1989-90,Chemistry,15.0,41,0.36585365853658536
1989-90,Civil & Environmental Eng,22.0,83,0.26506024096385544
1989-90,Classics,2.0,8,0.25
1989-90,Comparative Literature,20.0,31,0.6451612903225806
1989-90,Earth & Planetary Science,6.0,11,0.5454545454545454
1989-90,East Asian Lang & Culture,12.0,30,0.4
1989-90,Economics,136.0,367,0.37057220708446864
1989-90,Electrical Eng & Computer Sci,34.0,231,0.1471861471861472
1989-90,Engineering Science,3.0,20,0.15
1989-90,English,277.0,467,0.5931477516059958
1989-90,"Env Sci, Policy, & Mgmt",37.0,61,0.6065573770491803
1989-90,Ethnic Studies,25.0,48,0.5208333333333334
1989-90,Film and Media,7.0,17,0.4117647058823529
1989-90,French,45.0,61,0.7377049180327869
1989-90,Gender & Womens Studies,5.0,6,0.8333333333333334
1989-90,Geography,17.0,44,0.38636363636363635
1989-90,German,14.0,26,0.5384615384615384
1989-90,History,161.0,399,0.40350877192982454
1989-90,History of Art,34.0,45,0.7555555555555555
1989-90,Industrial Eng & Ops Research,17.0,45,0.37777777777777777
1989-90,Integrative Biology,78.0,153,0.5098039215686274
1989-90,Interdisc Social Science Pgms,141.0,289,0.48788927335640137
1989-90,Italian Studies,12.0,15,0.8
1989-90,L&S Chemistry,7.0,17,0.4117647058823529
1989-90,L&S Computer Science,26.0,90,0.28888888888888886
1989-90,L&S Legal Studies,41.0,82,0.5
1989-90,L&S Social Welfare,70.0,87,0.8045977011494253
1989-90,Landscape Arch & Env Plan,5.0,15,0.3333333333333333
1989-90,Linguistics,16.0,28,0.5714285714285714
1989-90,Materials Science & Eng,12.0,51,0.23529411764705882
1989-90,Mathematics,35.0,122,0.28688524590163933
1989-90,Mechanical Engineering,24.0,158,0.1518987341772152
1989-90,Molecular & Cell Biology,129.0,300,0.43
1989-90,Music,10.0,18,0.5555555555555556
1989-90,Near Eastern Studies,4.0,13,0.3076923076923077
1989-90,Nuclear Engineering,1.0,12,0.08333333333333333
1989-90,Nutritional Sciences & Tox,30.0,36,0.8333333333333334
1989-90,Optometry,31.0,64,0.484375
1989-90,Other Arts & Humanities Pgms,41.0,64,0.640625
1989-90,Other Bio Sciences Pgms,62.0,108,0.5740740740740741
1989-90,Other Clg of Natural Res Pgms,17.0,24,0.7083333333333334
1989-90,Other EVCP Programs,,1,
1989-90,Other Env Design Programs,1.0,1,1.0
1989-90,Other Physical Sciences Pgms,5.0,12,0.4166666666666667
1989-90,Other Social Sciences Programs,123.0,229,0.537117903930131
1989-90,Philosophy,23.0,68,0.3382352941176471
1989-90,Physics,8.0,93,0.08602150537634409
1989-90,Plant & Microbial Biology,,2,
1989-90,Political Science,173.0,363,0.4765840220385675
1989-90,Psychology,201.0,308,0.6525974025974026
1989-90,Rhetoric,45.0,101,0.44554455445544555
1989-90,Scandinavian,2.0,5,0.4
1989-90,Slavic Languages & Literatures,10.0,16,0.625
1989-90,Sociology,101.0,136,0.7426470588235294
1989-90,South & SE Asian Studies,5.0,8,0.625
1989-90,Spanish & Portuguese,23.0,39,0.5897435897435898
1989-90,Statistics,13.0,28,0.4642857142857143
1989-90,Theater Dance & Perf Stds,13.0,21,0.6190476190476191
1989-90,UG Interdisciplinary Studies,64.0,90,0.7111111111111111
1990-91,African American Studies,2.0,3,0.6666666666666666
1990-91,Ag & Resource Econ & Pol,16.0,33,0.48484848484848486
1990-91,Anthropology,100.0,141,0.7092198581560284
1990-91,Architecture,77.0,200,0.385
1990-91,Art Practice,58.0,81,0.7160493827160493
1990-91,Astronomy,1.0,15,0.06666666666666667
1990-91,Bioengineering,6.0,15,0.4
1990-91,Business,119.0,250,0.476
1990-91,Chem & Biomolecular Eng,10.0,48,0.20833333333333334
1990-91,Chemistry,19.0,43,0.4418604651162791
1990-91,Civil & Environmental Eng,27.0,80,0.3375
1990-91,Classics,5.0,5,1.0
1990-91,Comparative Literature,31.0,41,0.7560975609756098
1990-91,Earth & Planetary Science,1.0,10,0.1
1990-91,East Asian Lang & Culture,13.0,23,0.5652173913043478
1990-91,Economics,108.0,287,0.37630662020905925
1990-91,Electrical Eng & Computer Sci,33.0,203,0.1625615763546798
1990-91,Engineering Science,4.0,12,0.3333333333333333
1990-91,English,263.0,459,0.5729847494553377
1990-91,"Env Sci, Policy, & Mgmt",40.0,65,0.6153846153846154
1990-91,Ethnic Studies,44.0,61,0.7213114754098361
1990-91,Film and Media,11.0,14,0.7857142857142857
1990-91,French,23.0,35,0.6571428571428571
1990-91,Gender & Womens Studies,8.0,9,0.8888888888888888
1990-91,Geography,14.0,37,0.3783783783783784
1990-91,German,13.0,26,0.5
1990-91,History,121.0,322,0.37577639751552794
1990-91,History of Art,44.0,48,0.9166666666666666
1990-91,Industrial Eng & Ops Research,18.0,34,0.5294117647058824
1990-91,Integrative Biology,85.0,165,0.5151515151515151
1990-91,Interdisc Social Science Pgms,143.0,259,0.5521235521235521
1990-91,Italian Studies,4.0,7,0.5714285714285714
1990-91,L&S Chemistry,3.0,11,0.2727272727272727
1990-91,L&S Computer Science,16.0,78,0.20512820512820512
1990-91,L&S Legal Studies,46.0,88,0.5227272727272727
1990-91,L&S Social Welfare,68.0,73,0.9315068493150684
1990-91,Landscape Arch & Env Plan,14.0,25,0.56
1990-91,Linguistics,25.0,28,0.8928571428571429
1990-91,Materials Science & Eng,7.0,41,0.17073170731707318
1990-91,Mathematics,43.0,135,0.31851851851851853
1990-91,Mechanical Engineering,17.0,111,0.15315315315315314
1990-91,Molecular & Cell Biology,165.0,343,0.48104956268221577
1990-91,Music,7.0,22,0.3181818181818182
1990-91,Near Eastern Studies,9.0,16,0.5625
1990-91,Nuclear Engineering,3.0,15,0.2
1990-91,Nutritional Sciences & Tox,32.0,35,0.9142857142857143
1990-91,Optometry,32.0,64,0.5
1990-91,Other Arts & Humanities Pgms,16.0,32,0.5
1990-91,Other Bio Sciences Pgms,18.0,38,0.47368421052631576
1990-91,Other Clg of Natural Res Pgms,8.0,18,0.4444444444444444
1990-91,Other Env Design Programs,1.0,2,0.5
1990-91,Other Physical Sciences Pgms,1.0,3,0.3333333333333333
1990-91,Other Social Sciences Programs,129.0,202,0.6386138613861386
1990-91,Philosophy,20.0,73,0.273972602739726
1990-91,Physics,10.0,81,0.12345679012345678
1990-91,Plant & Microbial Biology,1.0,3,0.3333333333333333
1990-91,Political Science,171.0,361,0.47368421052631576
1990-91,Psychology,226.0,328,0.6890243902439024
1990-91,Rhetoric,46.0,105,0.4380952380952381
1990-91,Scandinavian,3.0,4,0.75
1990-91,Slavic Languages & Literatures,8.0,16,0.5
1990-91,Sociology,114.0,161,0.7080745341614907
1990-91,South & SE Asian Studies,1.0,6,0.16666666666666666
1990-91,Spanish & Portuguese,28.0,38,0.7368421052631579
1990-91,Statistics,7.0,25,0.28
1990-91,Theater Dance & Perf Stds,14.0,21,0.6666666666666666
1990-91,UG Interdisciplinary Studies,61.0,97,0.6288659793814433
1991-92,African American Studies,3.0,11,0.2727272727272727
1991-92,Ag & Resource Econ & Pol,14.0,30,0.4666666666666667
1991-92,Anthropology,137.0,196,0.6989795918367347
1991-92,Architecture,85.0,225,0.37777777777777777
1991-92,Art Practice,55.0,71,0.7746478873239436
1991-92,Astronomy,5.0,20,0.25
1991-92,Bioengineering,4.0,11,0.36363636363636365
1991-92,Business,156.0,292,0.5342465753424658
1991-92,Chem & Biomolecular Eng,22.0,59,0.3728813559322034
1991-92,Chemistry,21.0,58,0.3620689655172414
1991-92,Civil & Environmental Eng,19.0,74,0.25675675675675674
1991-92,Classics,4.0,12,0.3333333333333333
1991-92,Comparative Literature,27.0,39,0.6923076923076923
1991-92,Earth & Planetary Science,6.0,20,0.3
1991-92,East Asian Lang & Culture,18.0,36,0.5
1991-92,Economics,145.0,411,0.35279805352798055
1991-92,Electrical Eng & Computer Sci,28.0,209,0.1339712918660287
1991-92,Engineering Science,1.0,11,0.09090909090909091
1991-92,English,298.0,509,0.5854616895874263
1991-92,"Env Sci, Policy, & Mgmt",55.0,97,0.5670103092783505
1991-92,Ethnic Studies,46.0,79,0.5822784810126582
1991-92,Film and Media,2.0,11,0.18181818181818182
1991-92,French,32.0,40,0.8
1991-92,Gender & Womens Studies,8.0,10,0.8
1991-92,Geography,15.0,51,0.29411764705882354
1991-92,German,9.0,21,0.42857142857142855
1991-92,History,142.0,352,0.4034090909090909
1991-92,History of Art,45.0,57,0.7894736842105263
1991-92,Industrial Eng & Ops Research,16.0,34,0.47058823529411764
1991-92,Integrative Biology,144.0,256,0.5625
1991-92,Interdisc Social Science Pgms,165.0,338,0.4881656804733728
1991-92,Italian Studies,1.0,3,0.3333333333333333
1991-92,L&S Chemistry,5.0,8,0.625
1991-92,L&S Computer Science,26.0,109,0.23853211009174313
1991-92,L&S Legal Studies,37.0,85,0.43529411764705883
1991-92,L&S Social Welfare,67.0,83,0.8072289156626506
